Cluster,GeneSymbol
Stem,Angptl4
Stem,Rgmb
Stem,Axin2
Stem,Mecom
Stem,Rnf43
Stem,Cd44
Stem,Car12
Stem,Prelp
Stem,Ifitm3
Stem,Smo
Stem,Aqp4
Stem,Slc23a3
Stem,Alkbh2
Stem,Cdk6
Stem,Nrtn
Stem,Hnf1aos1
Stem,Lbh
Stem,Sox4
Stem,Sox9
Stem,Tns3
Stem,Bag2
Stem,Bcl2
Stem,Sycn
Stem,Arid5b
Stem,Paics
Stem,Slco3a1
Stem,Efna4
Stem,Gas6
Stem,Amica1
Stem,Cttnbp2
Stem,Cd320
Stem,Zbtb38
Stem,Aqp1
Stem,Pla2g4a
Stem,Smoc2
Stem,Slc25a4
Stem,Phlda1
Stem,Pdgfa
Stem,Ddit4
Stem,Mcm2
Stem,Ces1d
Stem,Zfp462
Stem,Slc16a13
Stem,Trim24
Stem,Ppat
Stem,Snx10
Stem,Clca3b
Stem,Shisa2
Stem,Dctd
Stem,Cachd1
Stem,Bin1
Stem,Cox6b2
Stem,Phgdh
Stem,Sord
Stem,Nme4
Stem,Wfdc2
Stem,Prr3
Stem,2310040G24Rik
Stem,Tmem266
Stem,Utrn
Stem,Mcc
Stem,Tfpi
Stem,Csad
Stem,Ccpg1os
Stem,D930015E06Rik
Stem,App
Stem,Notch1
Stem,Cd3eap
Stem,Cdt1
Stem,Nek6
Stem,Avpi1
Stem,Naf1
Stem,Mycl
Stem,Tns4
Stem,Adra2a
Stem,Rrp1b
Stem,Rnf32
Stem,Gm684
Stem,Glul
Stem,Ttr
Stem,Lysmd2
Stem,Fbxo21
Stem,Hmga2
Stem,Sesn3
Stem,Tmem191c
Stem,Agpat4
Stem,Slc27a1
Stem,RP23-453B15.7
Stem,Epn3
Stem,Dcun1d4
Paneth,AY761184
Paneth,Defa26
Paneth,Gm7849
Paneth,Gm14851
Paneth,Defa29
Paneth,Defa27
Paneth,Defa30
Paneth,Defa23
Paneth,Gm15292
Paneth,Defa24
Paneth,Clps
Paneth,Gm7861
Paneth,Ang4
Paneth,Lyz1
Paneth,Defa35
Paneth,Defa3
Paneth,Pnliprp2
Paneth,Itln1
Paneth,Defa34
Paneth,Mptx2
Paneth,Defa17
Paneth,Defa21
Paneth,Defa22
Paneth,Mmp7
Paneth,Nupr1
Paneth,Rnase1
Paneth,Ccl6
Paneth,Guca2b
Paneth,Tmed6
Paneth,Ramp1
Paneth,Spink4
Paneth,Nucb2
Paneth,Lbh
Paneth,Reg4
Paneth,Gadd45g
Paneth,Hpd
Paneth,Ang
Paneth,Reep5
Paneth,Rnase4
Paneth,Fkbp11
Paneth,Fam213a
Paneth,Hgfac
Paneth,Qsox1
Paneth,Atg7
Enteroendocrine,Neurod1
Enteroendocrine,Cpe
