"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1010001N08Rik",217.236660294272,-3.08034523113792,0.370215232949861,-8.32041730588405,8.76541494118202e-17,3.55260402584205e-15
"1100001G20Rik",0.121715342543798,-0.543775656091418,3.5338115409304,-0.153877944478117,0.877705974719893,NA
"1110001A16Rik",329.063353653207,-0.377326368053027,0.23301061441725,-1.61935270200761,0.105371397302031,0.202928040078981
"1110001J03Rik",561.685824504267,-0.103133531728493,0.279002754496579,-0.369650586119062,0.71164285433178,0.80241337875967
"1110002B05Rik",2045.91432574651,-1.95164355829167,0.535487576084819,-3.64461034289717,0.000267797223716631,0.00157355191095115
"1110002E22Rik",9.9711140107007,0.210832311320605,0.567062925583166,0.37179702958677,0.710043975453941,0.801376210950476
"1110002J07Rik",0.712394682584046,-1.87123853331189,1.91559900228976,-0.976842507787462,0.328647128055682,0.469154611985364
"1110002L01Rik",30.7347525467373,-1.09707771319481,0.383072379162768,-2.86389145464508,0.00418471385263103,0.0157011255030074
"1110002N22Rik",336.901644423374,0.0742551612148593,0.447595401087016,0.165897953898824,0.868237257735079,0.918938299955301
"1110003E01Rik",1646.07178370516,-0.0703275834524396,0.237882412699635,-0.295640113341374,0.767504936217078,0.842565786652785
"1110003O08Rik",104.823763606443,-1.3649389186126,0.399786818873331,-3.41416688639021,0.000639773744959557,0.00327613384436716
"1110004E09Rik",1620.9214139743,1.49273889755661,0.204991801923751,7.2819443682526,3.29042773315282e-13,9.59867655265361e-12
"1110004F10Rik",1297.79951114038,0.143212422672901,0.202893926744407,0.705848740624505,0.480282207539459,0.612827099699856
"1110005A03Rik",516.361178163496,0.00335882500662524,0.224675835901504,0.0149496495390707,0.988072349734128,0.991925701717281
"1110006G14Rik",0.807938378708272,-3.07096043585135,1.74908976118214,-1.75574776321131,0.0791314873356896,0.163082949503143
"1110007C09Rik",493.738502637815,0.749062408537966,0.266545164190575,2.81026448486756,0.00495008029020972,0.0179950533298101
"1110008E08Rik",0,NA,NA,NA,NA,NA
"1110008F13Rik",2084.18311116543,0.641066955312458,0.23441135891184,2.73479475691089,0.00624191823918712,0.0216816740587665
"1110008J03Rik",237.901768865653,-0.246835608583526,0.298708017563552,-0.826344102166625,0.408608922558465,0.54671569613094
"1110008L16Rik",750.89262219707,-0.324269060034026,0.214880893272766,-1.50906418479192,0.131282381066795,0.239154939193035
"1110008P14Rik",455.402497710768,1.24077326412226,0.295241948824774,4.20256426656584,2.6390828883846e-05,0.000209291798254947
