"type","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cldn15",1.65850706113944e-62,-0.315659556562883,0.855,0.987,5.15016197695631e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Mpeg1",1.82911748228029e-62,-0.158793057676982,0,0.293,5.679958517725e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Smdt1",2.01251226299961e-62,-0.256889752986976,0.96,0.998,6.24945433029268e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Sorbs2",2.27319636653488e-62,0.30228417677728,0.416,0.175,7.05895667700075e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Nxt1",2.54095005772308e-62,-0.262036654908282,0.462,0.871,7.89041221424747e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gbp5",2.70781294271491e-62,-0.208699211708799,0.003,0.298,8.40857153101261e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cdca5",3.81466453703911e-62,-0.148225330900259,0.031,0.354,1.18456777868676e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Hes6",4.21704296364033e-62,0.378383432730086,0.805,0.726,1.30951835149923e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Emg1",4.92845427216366e-62,-0.248618871506734,0.959,0.996,1.53043290513498e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psrc1",5.02345004453803e-62,-0.262880937188594,0.193,0.593,1.55993194233039e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gm17322",5.52026266467459e-62,0.210004517077554,0.224,0.039,1.7142071652614e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Trim25",6.12593997158562e-62,-0.202526002981378,0.155,0.562,1.90228813937648e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Lsm8",6.30783283927109e-62,-0.278828972518879,0.668,0.954,1.95877133157885e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Prelid3b",6.51011308120251e-62,-0.271145594280249,0.564,0.911,2.02158541510582e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rab5c",1.06352154847748e-61,-0.274684782797743,0.555,0.922,3.30255346448712e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Plod3",1.06684667280256e-61,-0.218949477900278,0.21,0.631,3.31287897305378e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psmd13",1.36064298790878e-61,-0.272861474432223,0.643,0.943,4.22520467035315e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rpf2",1.58166470832188e-61,-0.276007891176958,0.482,0.854,4.91154341875192e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ect2",1.84253578801252e-61,-0.184740870039632,0.08,0.436,5.72162638251527e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ube2k",2.04056611356758e-61,-0.267016758045848,0.746,0.975,6.3365699524614e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ncl",2.06143666109816e-61,-0.303839567826976,0.999,0.996,6.40137926370812e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tor1aip2",2.22400891551174e-61,-0.266098869170208,0.414,0.825,6.90621488533862e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Agr3",2.44974180135392e-61,0.199828574080957,0.201,0.029,7.60718321574434e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Slc5a1",2.79542716765945e-61,-0.315267103294958,0.55,0.909,8.6806399837329e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cdca7",3.16137446839414e-61,0.413064660611549,0.701,0.573,9.81701613670432e-57
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ube2n",4.01252413370559e-61,-0.278032476935011,0.776,0.969,1.2460091192396e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Slc7a11",4.01336668425289e-61,-0.186468578430136,0.061,0.403,1.24627075646105e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Stard10",4.1380794170189e-61,0.343219956846278,0.883,0.885,1.28499780136688e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cnn2",6.83966118225882e-61,-0.206766938227778,0.072,0.418,2.12391998692683e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gbp6",7.56611077988151e-61,-0.149258508772761,0.003,0.293,2.34950438047661e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Grb7",7.95445906053503e-61,0.338722882371017,0.574,0.38,2.47009817206794e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rnase4",9.09376226393258e-61,0.258750735992427,0.329,0.105,2.82388599581898e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cnp",1.11591387091396e-60,-0.253279188933103,0.351,0.777,3.46524734334912e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Npm3",1.29251054652551e-60,-0.277518417623467,0.912,0.984,4.01363300012568e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"St3gal4",1.29409207056594e-60,-0.583035125306778,0.258,0.634,4.0185441067284e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Sprr2a3",1.31474959710217e-60,-0.436572208115281,0.159,0.537,4.08269192388135e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tor3a",1.38467230232394e-60,-0.200066440348769,0.073,0.419,4.29982290040653e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Fam69a",1.39782919475095e-60,-0.1834337254557,0.125,0.512,4.34067899846011e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"C4b",1.4837529727339e-60,-0.161691494991167,0.003,0.291,4.60749810623059e-56
